CNPJ;AGENTE;ACAO;RAZAO_SOCIAL;ENDERECO;CIDADE;LATITUDE;LONGITUDE
37911176000105;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;DANIEL_DE_ALBUQUERQUE_MARANHAO;RUA_ARTUR_DE_AZEVEDO_493_CERQUEIRA_CESAR_SAO_PAULO;SAO_PAULO;-23.5599051;-46.6770407
20264001000150;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CRNS_COMERCIO_E_ARTIGOS_DE_MODA_FEMININA_LTDA;RUA_BENEDITO_AMERICO_DE_OLIVEIRA_38_VILA_YARA_OSASCO;OSASCO;-23.5476931;-46.7665317
51685393000155;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;DONA_MARLA_RESTAURANTE_E_PADARIA_LTDA;RUA_CAPOTE_VALENTE_231_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5593774;-46.6743448
04987579000189;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;ARISTIDES_G._NOGUEIRA_NETO;RUA_COSTA_CARVALHO_104_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5608644;-46.6992238
30312237000179;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;MAGADU_CAFE_LTDA;RUA_CRISTIANO_VIANA_69_CERQUEIRA_CESAR_SAO_PAULO;SAO_PAULO;-23.561854;-46.6757337
53906798000100;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;FARMACIA_HOMEOPATICA_CRISTIANO_LTDA;RUA_CRISTIANO_VIANA_96_CERQUEIRA_CESAR_SAO_PAULO;SAO_PAULO;-23.5615699;-46.6753198
08218164000100;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CLASSE_A_NOTEBOOK_COMERCIO_E_ASSISTENCIA_TECNICA_DE_EQUIPAMENTOS_DE_INFORMATICA_LTDA;RUA_DOS_GUSMOES_310_SANTA_EFIGENIA_SAO_PAULO;SAO_PAULO;-23.5369252;-46.6396222
10321250000187;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CARLOS_HENRIQUE_SILVA_CAMARGO;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1211_VILA_YARA_OSASCO;OSASCO;-23.5538075;-46.7640942
48094788000179;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;MOVTRAT_LTDA;RUA_DOUTOR_PAULO_FERRAZ_DA_COSTA_AGUIAR_1315_VILA_YARA_OSASCO;OSASCO;-23.5543988;-46.763361
50833934000182;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;RESTAURANTE_VARANDA_PINHEIROS_LTDA;RUA_EUGENIO_DE_MEDEIROS_646_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5655653;-46.6999601
11995484000172;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;PASTEKO_PASTELARIA_REFEICOES_E_PIZZAS_LTDA;RUA_EVA_TERPINS_15_PARQUE_CONTINENTAL_SAO_PAULO;SAO_PAULO;-23.5472666;-46.7573725
56956374000130;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;STDSUSHI_RESTAURANTE_E_EVENTOS_LTDA;RUA_FERREIRA_DE_ARAUJO_690_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5638402;-46.6981151
27194442000172;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;BRAIN_MARKETPLACE__COWORKING_E_EVENTOS_LTDA;RUA_FRANCISCO_LEITAO_258_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5622924;-46.6804165
08219350000155;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;PITA_SANDWICHES_LTDA;RUA_FRANCISCO_LEITAO_280_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.562158;-46.6805606
33535578000100;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;SABOR_DA_VILA_SAO_PAULO_RESTAURANTE_LTDA;RUA_GILBERTO_SABINO_165_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5664595;-46.7019086
59090660000153;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;LP_PARK_ESTACIONAMENTO_E_LAVA_RAPIDO_LTDA;RUA_HELENA_ZERRENER_74_LIBERDADE_SAO_PAULO;SAO_PAULO;-23.5538813;-46.6286167
19534596000138;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;STAR_JET_SUPRIMENTOS_DE_INFORMATICA_LTDA;RUA_IRMA_PIA_22_JAGUARE_SAO_PAULO;SAO_PAULO;-23.548375;-46.7518666
51549200000139;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;DO_QUENTE_DA_BOCA_RESTAURANTE_LTDA;RUA_JOAO_MOURA_519_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5608472;-46.6775543
07481884000192;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;OTSUKISAM_COSMETICOS_CABELOS_ESTETICA_E_MIUDEZAS_EM_GERAL_LTDA;RUA_MARECHAL_OLIMPIO_MOURAO_FILHO_64_VILA_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5576277;-46.7572549
44729253000176;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CERAMICAS_ARTICO_LTDA;RUA_MARECHAL_OLIMPIO_MOURAO_FILHO_87_VILA_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5575884;-46.7577909
54180538000154;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;VW_BEAUTY_STUDIO_LTDA;RUA_MARECHAL_OLIMPIO_MOURAO_FILHO_97_VILA_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5575575;-46.7578917
42554796000174;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;ROLIM_FABRICACAO_E_COMERCIO_DE_FERRAGENS_LTDA;RUA_MILTON_DE_SOUZA_QUINTINO_37_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5650428;-46.7482501
31719254000198;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;BAR_E_RESTAURANTE_LUZ_DO_SOL_LTDA;RUA_OSCAR_CINTRA_GORDINHO_27_LIBERDADE_SAO_PAULO;SAO_PAULO;-23.5540548;-46.6298382
42780248000162;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;BAR_E_RESTAURANTE_BOTEQUIM_LTDA;RUA_OSCAR_CINTRA_GORDINHO_38_LIBERDADE_SAO_PAULO;SAO_PAULO;-23.5539459;-46.6296925
49587215000140;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;TINTAS_E_FERRAGENS_PESTANA_LTDA;RUA_OSCAR_CINTRA_GORDINHO_9_LIBERDADE_SAO_PAULO;SAO_PAULO;-23.5541933;-46.629928
54764531000180;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;GIULIA_BISTRO_LTDA;RUA_PROFESSOR_HERBERT_BALDUS_216_VILA_LAGEADO_SAO_PAULO;SAO_PAULO;-23.5573289;-46.7558554
19724963000166;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CEZAR_EDUARDO_SARACHINI;RUA_PROFESSORA_ANA_MARIA_LELIS_DA_SILVA_162_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5660812;-46.7502781
03910513000128;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;REABILITARE_FISIOTERAPEUTAS_ASSOCIADOS_LTDA;RUA_SILVERIO_SASSO_83_VILA_YARA_OSASCO;OSASCO;-23.5487183;-46.761165
14946850000191;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;VELMONT_GRILL_E_LANCHONETE_LTDA;RUA_SUMIDOURO_545_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.565171;-46.7008835
08336528000148;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;PINHEIROS_PROJETOS_E_DECORACOES_LTDA;RUA_TEODORO_SAMPAIO_1295_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5603942;-46.681902
31537001000101;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;SIMBIOSE_COLCHOES_LTDA;RUA_TEODORO_SAMPAIO_1413_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5608627;-46.6829251
51135955000197;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;DONA_BENTA_COMERCIO_E_LOCACAO_DE_COLCHOES_E_MOVEIS_SOCIEDADE_UNIPESSOAL_LTDA;RUA_TEODORO_SAMPAIO_1429_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5610113;-46.6830972
32085884000110;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;CASA_LUXO_COMERCIO_DE_MOVEIS_LTDA;RUA_TEODORO_SAMPAIO_1478_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5614467;-46.6839059
49460254000181;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;BARAKAH_INTERIORES__MOVEIS_E_DECORACOES_LTDA;RUA_TEODORO_SAMPAIO_1510_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.5613157;-46.6838512
39714945000100;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;S3T_MULTI_MARCAS_COMERCIO_DE_ROUPAS_LTDA;RUA_TEODORO_SAMPAIO_2169_PINHEIROS_SAO_PAULO;SAO_PAULO;-23.564545;-46.6891319
08508618000179;ANDERSON_LUCIANO;REALIZAR_PRIMEIRA_VISITA;JOSE_ROMANO_INFORMATICA;VIADUTO_SANTA_IFIGENIA_70_CENTRO_SAO_PAULO;SAO_PAULO;-23.5431831;-46.6348615
58251713000108;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;58.251.713_KAIQUE_SANTOS_DA_SILVA_-_DK_ASSESSORIOS;AVENIDA_CORIFEU_DE_AZEVEDO_MARQUES_5504_BUTANTA_SAO_PAULO;SAO_PAULO;-23.562892;-46.7465577
22582526000160;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;22.582.526_ALEF_DA_SILVA_VILELA_-_ESMAGA_PRECO_MERCADINHO;AVENIDA_DO_RIO_PEQUENO_138_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5634528;-46.7478677
65033672000149;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;CONSI-LAR_IMOVEIS_S/C_LIMITADA_-_CONSI-LAR_IMOVEIS;AVENIDA_DO_RIO_PEQUENO_145_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5632996;-46.7479327
28773478000173;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;FRANCIELY_OLIVEIRA_DA_SILVA_-_BATISTA_LOJAS;AVENIDA_DO_RIO_PEQUENO_228_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5634841;-46.7486422
44684383000130;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;SEVERINO_SENHORINHO_MONTEIRO_16758099415_-_BAR_DO_SEVERINO;AVENIDA_DO_RIO_PEQUENO_377_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5643608;-46.7498698
72674708000139;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;GOTOTICA_COMERCIO_DE_OCULOS_LTDA_-_GOTOTICA;AVENIDA_DO_RIO_PEQUENO_451_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5648139;-46.7503196
14043270000194;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;N.FUSO_COMERCIO_PARAFUSOS_E_FERRAMENTAS_LTDA_-_N.FUSO_COMERCIO_PARAFUSOS_E_FERRAMENTAS;AVENIDA_DO_RIO_PEQUENO_479_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5648846;-46.7505105
47211949000102;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;COPIADORA_ENCADERNADORA_UNIVERSITARIA_LTDA_-_COPIADORA_ENCADERNADORA_UNIVERSITARIA;AVENIDA_DO_RIO_PEQUENO_506_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5648403;-46.7505609
58470638000176;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;MUNDO_COLORIDO_MODA_INFANTIL_LTDA_-_MUNDO_KIDS;AVENIDA_DO_RIO_PEQUENO_510_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5649933;-46.7509267
46480292000108;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;JORGE_FERREIRA_DA_SILVA_14305544873_-_JF_TECNOLOGIA;AVENIDA_DO_RIO_PEQUENO_513_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5651686;-46.7507852
22421413000182;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;A._A._ALVES_COMERCIAL_LTDA_-_MABE_MIX_STORE;AVENIDA_DO_RIO_PEQUENO_516_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5651055;-46.7508326
10319719000143;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;TEBELLE_OTICA_COMERCIO_DE_ARTIGOS_OPTICOS_LTDA_-_TEBELLE_OTICA;AVENIDA_DO_RIO_PEQUENO_546_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5651267;-46.7510317
44032585000105;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;BOLD_BIJU_COMERCIO_DE_BIJUTERIAS_LTDA_-_BOLD_BIJU;AVENIDA_DO_RIO_PEQUENO_656_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5657445;-46.7519606
55042984000165;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;OC_RIO_PEQUENO_LTDA_-_OC_RIO_PEQUENO;AVENIDA_DO_RIO_PEQUENO_656_RIO_PEQUENO_SAO_PAULO;SAO_PAULO;-23.5658082;-46.7519505
48676847000117;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;BARRETO_CLINICA_ODONTOLOGICA_LTDA_-_CLINICA_BARRETO;AVENIDA_DOS_AUTONOMISTAS_461_VILA_YARA_OSASCO;OSASCO;-23.5481305;-46.7610653
16728136000152;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;MARIA_DO_SOCORRO_MORAIS_DO_NASCIMENTO_-_ESTETICA_-_ESPACO_BELEZA_STUDIO_HAIR;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_108_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5570381;-46.75079
27448682000156;ANDERSON_LUCIANO;REALIZAR_SEGUNDA_VISITA;CARDOSOS_BARBERSHOP_E_TATTOO_LTDA_-__CARDOSOS_BARBERSHOP_E_TATTOO;AVENIDA_DOUTOR_CANDIDO_MOTTA_FILHO_400_CIDADE_SAO_FRANCISCO_SAO_PAULO;SAO_PAULO;-23.5567943;-46.7531639
